run_tag,run_type,model,model_label,model_size_b,engine,series_label,gpu_name,detected_gpu_name,concurrency,snapshot_phase,gpu_index,gpu_memory_used_mb,gpu_memory_total_mb,gpu_memory_used_pct,gpu_util_percent,gpu_power_watts
a100-vllm-qwen3-4b-official,concurrency_summary,Qwen/Qwen3-4B,Qwen3 4B,4.0,vllm,Qwen3 4B / vLLM,A100_80GB,NVIDIA A100-SXM4-80GB,5,after,0,74461.0,81920.0,90.894775390625,92.0,248.1
a100-vllm-qwen3-4b-official,concurrency_summary,Qwen/Qwen3-4B,Qwen3 4B,4.0,vllm,Qwen3 4B / vLLM,A100_80GB,NVIDIA A100-SXM4-80GB,5,before,0,74461.0,81920.0,90.894775390625,0.0,70.17
a100-vllm-qwen3-4b-official,concurrency_summary,Qwen/Qwen3-4B,Qwen3 4B,4.0,vllm,Qwen3 4B / vLLM,A100_80GB,NVIDIA A100-SXM4-80GB,10,after,0,74461.0,81920.0,90.894775390625,92.0,245.98
a100-vllm-qwen3-4b-official,concurrency_summary,Qwen/Qwen3-4B,Qwen3 4B,4.0,vllm,Qwen3 4B / vLLM,A100_80GB,NVIDIA A100-SXM4-80GB,10,before,0,74461.0,81920.0,90.894775390625,0.0,69.96
a100-sglang-qwen3-14b-official,concurrency_summary,Qwen/Qwen3-14B,Qwen3 14B,14.0,sglang,Qwen3 14B / SGLang,A100_80GB,NVIDIA A100-SXM4-80GB,1,after,0,70416.0,81920.0,85.95703125,100.0,301.7
a100-sglang-qwen3-14b-official,concurrency_summary,Qwen/Qwen3-14B,Qwen3 14B,14.0,sglang,Qwen3 14B / SGLang,A100_80GB,NVIDIA A100-SXM4-80GB,1,before,0,70416.0,81920.0,85.95703125,0.0,70.83
a100-sglang-qwen3-14b-official,concurrency_summary,Qwen/Qwen3-14B,Qwen3 14B,14.0,sglang,Qwen3 14B / SGLang,A100_80GB,NVIDIA A100-SXM4-80GB,3,after,0,70416.0,81920.0,85.95703125,100.0,301.08
a100-sglang-qwen3-14b-official,concurrency_summary,Qwen/Qwen3-14B,Qwen3 14B,14.0,sglang,Qwen3 14B / SGLang,A100_80GB,NVIDIA A100-SXM4-80GB,3,before,0,70416.0,81920.0,85.95703125,0.0,71.16
a100-sglang-qwen3-14b-official,concurrency_summary,Qwen/Qwen3-14B,Qwen3 14B,14.0,sglang,Qwen3 14B / SGLang,A100_80GB,NVIDIA A100-SXM4-80GB,5,after,0,70416.0,81920.0,85.95703125,100.0,301.38
a100-sglang-qwen3-14b-official,concurrency_summary,Qwen/Qwen3-14B,Qwen3 14B,14.0,sglang,Qwen3 14B / SGLang,A100_80GB,NVIDIA A100-SXM4-80GB,5,before,0,70416.0,81920.0,85.95703125,0.0,71.16
a100-sglang-qwen3-14b-official,concurrency_summary,Qwen/Qwen3-14B,Qwen3 14B,14.0,sglang,Qwen3 14B / SGLang,A100_80GB,NVIDIA A100-SXM4-80GB,10,after,0,70416.0,81920.0,85.95703125,100.0,302.62
a100-sglang-qwen3-14b-official,concurrency_summary,Qwen/Qwen3-14B,Qwen3 14B,14.0,sglang,Qwen3 14B / SGLang,A100_80GB,NVIDIA A100-SXM4-80GB,10,before,0,70416.0,81920.0,85.95703125,0.0,71.23
a100-vllm-qwen3-14b-official,concurrency_summary,Qwen/Qwen3-14B,Qwen3 14B,14.0,vllm,Qwen3 14B / vLLM,A100_80GB,NVIDIA A100-SXM4-80GB,1,after,0,74583.0,81920.0,91.043701171875,97.0,294.41
a100-vllm-qwen3-14b-official,concurrency_summary,Qwen/Qwen3-14B,Qwen3 14B,14.0,vllm,Qwen3 14B / vLLM,A100_80GB,NVIDIA A100-SXM4-80GB,1,before,0,74583.0,81920.0,91.043701171875,0.0,70.76
a100-vllm-qwen3-14b-official,concurrency_summary,Qwen/Qwen3-14B,Qwen3 14B,14.0,vllm,Qwen3 14B / vLLM,A100_80GB,NVIDIA A100-SXM4-80GB,3,after,0,74583.0,81920.0,91.043701171875,97.0,296.55
a100-vllm-qwen3-14b-official,concurrency_summary,Qwen/Qwen3-14B,Qwen3 14B,14.0,vllm,Qwen3 14B / vLLM,A100_80GB,NVIDIA A100-SXM4-80GB,3,before,0,74583.0,81920.0,91.043701171875,0.0,71.16
a100-vllm-qwen3-14b-official,concurrency_summary,Qwen/Qwen3-14B,Qwen3 14B,14.0,vllm,Qwen3 14B / vLLM,A100_80GB,NVIDIA A100-SXM4-80GB,5,after,0,74583.0,81920.0,91.043701171875,97.0,292.64
a100-vllm-qwen3-14b-official,concurrency_summary,Qwen/Qwen3-14B,Qwen3 14B,14.0,vllm,Qwen3 14B / vLLM,A100_80GB,NVIDIA A100-SXM4-80GB,5,before,0,74583.0,81920.0,91.043701171875,0.0,71.16
a100-vllm-qwen3-14b-official,concurrency_summary,Qwen/Qwen3-14B,Qwen3 14B,14.0,vllm,Qwen3 14B / vLLM,A100_80GB,NVIDIA A100-SXM4-80GB,10,after,0,74583.0,81920.0,91.043701171875,97.0,297.14
a100-vllm-qwen3-14b-official,concurrency_summary,Qwen/Qwen3-14B,Qwen3 14B,14.0,vllm,Qwen3 14B / vLLM,A100_80GB,NVIDIA A100-SXM4-80GB,10,before,0,74583.0,81920.0,91.043701171875,0.0,71.42
a100-vllm-qwen3-32b-official,concurrency_summary,Qwen/Qwen3-32B,Qwen3 32B,32.0,vllm,Qwen3 32B / vLLM,A100_80GB,NVIDIA A100-SXM4-80GB,1,after,0,75053.0,81920.0,91.617431640625,98.0,311.04
a100-vllm-qwen3-32b-official,concurrency_summary,Qwen/Qwen3-32B,Qwen3 32B,32.0,vllm,Qwen3 32B / vLLM,A100_80GB,NVIDIA A100-SXM4-80GB,1,before,0,75053.0,81920.0,91.617431640625,0.0,70.56
a100-vllm-qwen3-32b-official,concurrency_summary,Qwen/Qwen3-32B,Qwen3 32B,32.0,vllm,Qwen3 32B / vLLM,A100_80GB,NVIDIA A100-SXM4-80GB,3,after,0,75053.0,81920.0,91.617431640625,98.0,312.89
a100-vllm-qwen3-32b-official,concurrency_summary,Qwen/Qwen3-32B,Qwen3 32B,32.0,vllm,Qwen3 32B / vLLM,A100_80GB,NVIDIA A100-SXM4-80GB,3,before,0,75053.0,81920.0,91.617431640625,0.0,72.09
a100-vllm-qwen3-32b-official,concurrency_summary,Qwen/Qwen3-32B,Qwen3 32B,32.0,vllm,Qwen3 32B / vLLM,A100_80GB,NVIDIA A100-SXM4-80GB,5,after,0,75053.0,81920.0,91.617431640625,98.0,310.5
a100-vllm-qwen3-32b-official,concurrency_summary,Qwen/Qwen3-32B,Qwen3 32B,32.0,vllm,Qwen3 32B / vLLM,A100_80GB,NVIDIA A100-SXM4-80GB,5,before,0,75053.0,81920.0,91.617431640625,0.0,71.76
a100-vllm-qwen3-32b-official,concurrency_summary,Qwen/Qwen3-32B,Qwen3 32B,32.0,vllm,Qwen3 32B / vLLM,A100_80GB,NVIDIA A100-SXM4-80GB,10,after,0,75053.0,81920.0,91.617431640625,99.0,307.41
a100-vllm-qwen3-32b-official,concurrency_summary,Qwen/Qwen3-32B,Qwen3 32B,32.0,vllm,Qwen3 32B / vLLM,A100_80GB,NVIDIA A100-SXM4-80GB,10,before,0,75053.0,81920.0,91.617431640625,0.0,71.76
